Das and Edwin 2018 Temporal changes in the ring seine Fishery of Kerala, India. Indian Journal of Fisheries, 65(1): 47-54; HP and Length
Kripa et al 2018 Overfishing and climate drives changes in biology and recruitment of the Indian oil sardine Sardinalla longiceps in Southeastern Arabian Sea. Frontiers in Marine Science. doi: 10.3389/fmars.2018.00443; CPUE data
Year HP Length.boat Length.net MRS.CPUE OBRS.CPUE
1985 15 8.5 250 NA NA
1993 25 10.7 500 NA NA
1997 80 15.2 600 NA NA
2002 110 19.8 800 NA NA
2003 260 20.7 900 NA NA
2007 NA NA NA 494 548
2008 NA NA NA 685 341
2009 NA NA NA 610 414
2010 350 21.9 1000 1016 526
2011 NA NA NA 1183 670
2012 NA NA NA 1378 503
2013 NA NA NA 879 345
2014 440 24.4 1500 527 312
2015 NA NA NA 303 159
